DateID,SceneID,Order,Type,Speaker,Text,Background,CenterAppearanceID,LeftAppearanceID,RightApeearanceID,ChoiceA,NextSceneA,AffectionA,ChoiceB,NextSceneB,AffectionB,MoneyChange,ConditionChange,GradeChange,FriendshipCange,StoryKind,DatingCharacter,DatingLocation,CompleteDate
Date21,1,0,Dialogue,나,(전철 역착 때문에 약속시간에 촉박하게 도착한다.),Dating_pond,,,,,,,,,,,,,,,,,
Date21,1,1,Dialogue,나,"(……헉 저, 저기 벤치에 앉아서 시계를 보고있는 미소녀… 설마 미요코씨 ?! 미쳤다, 오늘 스타일 눈이 부셔서 못쳐다 보겠어!! 완전 여신 그자체 잖아..! 심장이 두근거린다구..!)",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,1,2,Choice,미요코,"""푸앙쿤, 벌써 지금 23.24 초 나 지체했어. 내 시간은 금보다 귀하다고,  늦은 이유를 자기변호할수 있는 시간을 10초 줄테니 왜 늦었닌 논리적으로 설명해봐"" ",,Dating_Miyoko_angry,,,사실대로 말한다.,10,,거짓말을 한다.,11,,,,,,,,,
Date21,10,0,,나," ""미안해 미요코! 사실 전철이 갑자기 연착되는 바람에 어쩔수가 없었어! 정말 고의가 아니야…!""",,,,,,,,,,,,,,,,,,
Date21,10,1,Dialogue,미요코,"""전철 연착?"" (턱을 괴고 잠시 눈을 감더니 중얼거린다.) ""9호선 전동차의 표준속도는 35kn/h 연착 평균 거리는 1.2km, 오늘 신호장애 구간의 감속운행률을 40%로 잡고 푸앙 쿤의 역 출구에서 여기 벤치까지의 보행속도를 4km/h로 상정하면…""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,10,2,Dialogue,나,(어이 설마 머릿속으로 지하철 지연시간을 실시간으로 역산하고 있는거야?!),,,,,,,,,,,,,,,,,,
Date21,10,3,Dialogue,미요코,"(눈을 번쩍 뜨며)"" ……음, 계산 끝났어. 확실히 네가 역에서부터 가속도를 높여서 전력 질주(v≈18 km/h)했다는 조건 하에, 23.24초 지각은 불가항력적인 수치였네."" ""데이터가 증명하니까 참작해 줄게""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,10,4,Dialogue,나," (휴우, 과학적이고 수학적인 변론이 통하는 우등생이라 다행이다……!)",,,,,,,,,,,,,,,,,,
Date21,10,5,Dialogue,미요코,"(살짝 볼을 붉히며 스마트워치를 만지작거린다) ""하지만…… 감속 운행이 시작된 시점에 이미 나에게 지연 도달 예상 시간을 메신저로 송신했어야 계산 오차가 안 생기잖아. "" ""기다리는 동안…… 내 심박수가 평소보다 15%나 상승했다고. 책임져""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,10,6,Dialogue,나,"(……헉, 화난 게 아니라 기다리느라 두근거렸다는 뜻?! 이 갭 모에, 파괴력 엄청나잖아!!)",,,,,,,,,,,,,,,,,,
Date21,11,0,Dialogue,나,"""아, 그게 말이지!"" ""길을 오다가 할머니께서 무거운 짐을 들고 가시길래, 도저히 모른 척할 수가 없어서 정류장까지 모셔다드리느라 늦었어!""",,,,,,,,,,,,,,,,,,
Date21,11,1,Dialogue,미요코,(안경테를 지적으로 치켜올리며 차가운 눈빛으로 바라본다) 할머니를 도와드렸다라…… 이 근방 정류장까지의 최단 거리는 250 m. 노약자의 평균 보행 속도 0.8m/s와 짐의 무게로 인한 감속률을 계산하면 왕복 최소 8분이 소요돼야 해.,,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,11,2,Dialogue,나,(……엑.),,,,,,,,,,,,,,,,,,
Date21,11,3,Dialogue,미요코,"""하지만 9호선 전동차가 역에 도착한 시간과 네가 여기 도착한 시간의 차이는 정확히 3분 12초."" ""즉, 네가 할머니를 들고 20/km/h로 역주행하지 않는 이상 절대로 불가능한 타임라인이야.""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date21,11,4,Dialogue,나,(어이!!! 무슨 미연시 히로인이 물리 법칙과 시공간을 계산해서 팩트 폭행을 날리는 건데!! 이 사람 인간 컴퓨터냐고?!),,,,,,,,,,,,,,,,,,
Date21,11,5,Dialogue,미요코,"""뻔히 보이는 데이터 조작에 표본조사 조차 거지치지 않은 조잡한 허위보고라니…."" ""푸앙쿤 넌 지금 내앞에서 확률과 통계학을 모독했어 학업성취도 뿐만아니라 신뢰도 점수에서도 완벽한 'F 등급'이야. . 알겠어?""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date21,11,6,Dialogue,미요코," (한숨을 깊게 쉬며) ""오늘 데이트 스케줄은 전면 취소야."" ""정직성 수치가 결여된 파트너와 유의미한 시간을 보낼 확률은 0%에 수렴하니까."" ""대신……""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date21,11,7,Dialogue,나,(대신……? 제발 살려줘 미요코 교수님……!),,,,,,,,,,,,,,,,,,
Date21,11,8,Dialogue,미요코,"""내일부터 당장 내 옆자리에서 오차 범위 0%의 빡빡한 '정직성 교정 스파르타 오답 노트' 1000페이지를 1초의 오차도 없이 풀게 할 테니까."" ""내일 아침 6시까지 도서관으로 와. 지각하면…… 알지?""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date21,11,9,Dialogue,나, (으아악! 데이트는 폭망하고 인공지능급 알고리즘 지옥의 보충수업 징역형에 처해졌다!! 살려줘 지자스-!!),,,,,,,,,,,,,,,,,,
Date22,2,0,Dialogue,나,약속 장소인 공원 중앙광장에 조금 일찍 도착했어. 저 멀리 벤치 근처에 익숙한 베이지색 터틀넥 니트를 입은 미요코가 보이는데…… 어라? 분위기가 평소랑 딴판이다?),Dating_pepero,,,,,,,,,,,,,,,,,
Date22,2,1,Dialogue,미요코,"(주변을 두리번거리더니 아무도 없는 걸 확인하고는, 벤치 아래에 있는 중냥이 앞에 쪼그려 앉아) ""우쭈쭈…… 중냥아, 배고팠어? 누나가 맛있는 거 줄게, 아앙 해봐…… 흐흥, 귀여워라……""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date22,2,2,Dialogue,나,"(평소의 차가운 목소리는 어디 가고, 세상 달달한 콧소리를 내며 고양이 콧등을 손가락으로 간지럽히고 있어!)",,,,,,,,,,,,,,,,,,
Date22,2,3,Dialogue,미요코,"(코이츠 wwwwww 갭모에 무엇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀여워서 미치겠네 진짜 ㅋㅋㅋㅋㅋ) ""미요코! 뭐 해?""",,,,,,,,,,,,,,,,,,
Date22,2,4,Dialogue,미요코,"""히익?!?!?!"" (용수철처럼 놀라 자빠질 뻔하며 벌떡 일어나더니, 빛의 속도로 표정을 싹 굳히고 안경을 치켜올려) ""……푸, 푸앙이? 너, 너 언제부터 거기 있었어?! 아, 아니, 방금 그건 그러니까…… 동물의 행동 양식을 관찰하던 것뿐이야!""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,5,Dialogue,나,"""하하, 귀여운 고양이 관찰치고는 목소리가 엄청 다정하던데? 오늘 옷도 되게 잘 어울린다.""",,,,,,,,,,,,,,,,,,
Date22,2,6,Dialogue,미요코,"""다, 다정하긴 누가……! 착각하지 마. 이번 학기 과제 때문에 정보 공유하려고 잠깐 시간 내준 것뿐이니까. 그리고 이 옷은 그냥 평소에 입는 거니까 쓸데없이 의미 부여하지 마."" (단호하게 선을 긋는데, 얼굴부터 목덜미까지 이미 새빨갛게 익어버렸어 ㅋㅋㅋ)",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,7,Dialogue,나,"""아, 예에~ 아무튼 와줘서 고마워. 조용하니까 걷기 좋네. 저기 빼광근처나 좀 걸을까?""",,,,,,,,,,,,,,,,,,
Date22,2,8,Dialogue,미요코," ""……뭐, 조용한 빼광 자체는 나쁘지 않네. 너랑 단둘이 보내는 시간이라면 더욱……""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date22,2,9,Dialogue,나,"""응? 방금 뭐라고 했어?""",,,,,,,,,,,,,,,,,,
Date22,2,10,Dialogue,미요코,"""아, 아무것도 아니야! 귀가 먹먹한 거 아냐? 얼른 걷기나 해!""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,11,Dialogue,나,"(그렇게 민망함을 감추려는 미요코와 나란히 빼광에 앉아있다가, 하늘에서 러브버그 수십마리가 무섭게 달려온다!)",,,,,,,,,,,,,,,,,,
Date22,2,12,Dialogue,나," ""앗, 위험해!""",,,,,,,,,,,,,,,,,,
Date22,2,13,Dialogue,나,(난 반사적으로 미요코 앞을 가로막으면서 그 가냘픈 어깨를 내 품으로 확 감싸 안았다.),,,,,,,,,,,,,,,,,,
Date22,2,14,Dialogue,미요코," ""앗……?!""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date22,2,15,Dialogue,미요코,"(순간 미요코의 단정한 니트 자락이 내 가슴팍에 완전히 밀착돼. 은은하게 퍼지는 고급스러운 향수 냄새랑 걔의 가쁜 숨결이 그대로 느껴져 벌레들이 멀어진 후에도, 미요코는 내 품에 안긴 채 얼어붙어 있었다.)",,,,,,,,,,,,,,,,,,
Date22,2,16,Dialogue,나,"""휴우, 깜짝이야…… 괜찮아, 미요코? 어디 다친 데는 없어?""",,,,,,,,,,,,,,,,,,
Date22,2,17,Dialogue,나,"""…….""",,,,,,,,,,,,,,,,,,
Date22,2,18,Dialogue,미요코,"(고개를 숙이고 있어서 표정은 안 보이는데, 하얀 목덜미가 이미 대폭발한 것처럼 새빨갛게 물들어 있어. 이윽고 날 살짝 밀쳐내며 안경을 신경질적으로 치켜올려) ""……무, 무슨 짓이야? 방금 건 명백한 과잉보호에다가……",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,19,Dialogue,미요코,"""사, 사회적 거리 두기 위반이야!""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,20,Dialogue,나,"""아니, 벌레들이 너무 갑자기 달려들어서 지켜주려고 한 건데…… 기분 나빴다면 미안.""",,,,,,,,,,,,,,,,,,
Date22,2,21,Dialogue,미요코,"""기, 기분 나쁘다고는 안 했어……! 단지……"" ",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,22,Dialogue,미요코,"(내 시선 슬그머니 피하면서 기어들어가는 목소리로 조물조물 말해) ""……단지, 그렇게 갑자기 들어오면 심장에 안 좋으니까 예고 정도는 하라는 뜻이야. 바보…….""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,23,Dialogue,나,"""(오오오오옷!!! 차도녀의 무덤덤한 독설 뒤에 숨겨진 이 엄청난 파괴력의 갭모에!!! 심장 터질 것 같다 어이!!!)"" ",,,,,,,,,,,,,,,,,,
Date22,2,24,Dialogue,나,"""하하, 다음엔 꼭 예고하고 지켜줄게. 깜짝 놀랐을 테니까 내가 저기서 따뜻한 캔커피라도 사 올게.""",,,,,,,,,,,,,,,,,,
Date22,2,25,Dialogue,나,"(내가 자리를 비우려 하니까, 미요코가 내 셔츠 소매 끝자락을 아주 미세하게, 손가락 끝으로 톡톡 건드리며 붙잡아.)",,,,,,,,,,,,,,,,,,
Date22,2,26,Dialogue,나,"""음? 왜 그래?""",,,,,,,,,,,,,,,,,,
Date22,2,27,Dialogue,미요코,"""……블랙.""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date22,2,28,Dialogue,나,"""응?""",,,,,,,,,,,,,,,,,,
Date22,2,29,Dialogue,미요코,"""설탕 없는 블랙커피로 부탁해. 그리고……""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date22,2,30,Dialogue,미요코," (안경 너머로 아련하게 흔들리는 눈동자로 날 올려다보며) ""……빨리 와. 네가 없으면, 혼자서는 이 광장은 너무 넓게 느껴지니까…….""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date22,2,31,Dialogue,나,"(쿠오오오오오옷!!! 이 눈빛은 반칙이잖아!!! 얼음성벽이 완전히 녹아내리고 있다고!!!)"" ""어! 10초 만에 뛰어올게!!!""",,,,,,,,,,,,,,,,,,
Date22,2,32,Dialogue,나,"""자, 블랙커피! 근데 아까 고양이한테 우쭈쭈 하던 톤으로 나한테도 한 번만 해주면 안 되냐? ㅋㅋㅋ 벌레들이 올 때 쫄아서 안긴 것도 그렇고 은근 허당이네 미요코 ㅋㅋㅋ""",,,,,,,,,,,,,,,,,,
Date22,2,33,Dialogue,미요코,"뭐, 뭐시라구?!?! 너 진짜 죽고 싶어?!"" (얼굴이 터질 것처럼 붉어진 채로 내 팔을 왁 잡고 흔들며 츳코미를 날린다.)",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,34,Dialogue,나," ""아하하! 아까 '누나가 맛있는 거 줄게~' 할 때 진짜 대박이었는데?""",,,,,,,,,,,,,,,,,,
Date22,2,35,Dialogue,미요코,"""아아아악! 진짜 잊으라고 했잖아!! 그리고 내가 언제 쫄아서 안겼다 그래?! 그건 불가항력적인 신체 접촉이었을 뿐이야! 이 능글맞은 푸앙이 녀석이……!!""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,2,36,Dialogue,미요코,"(씩씩거리며 내 가슴팍을 주먹으로 콩콩 때리더니, 화끈거리는 볼을 식히려는 듯 캔커피를 덥석 빼앗아 두 뺨에 가져다 댄다.)",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date22,3,0,Dialogue,나,"""으으, 밤 되니까 옥상은 바람 엄청 부네. 미요코, 안 추워?""",Dating_rooftop,,,,,,,,,,,,,,,,,
Date23,3,1,Dialogue,나,(야경을 보며 머리카락을 귀 뒤로 넘기다가 날 슥 쳐다본다) ,,,,,,,,,,,,,,,,,,
Date23,3,2,Dialogue,미요코,"""추우면 내려가던가. 난 여기가 조용하고 머리 식히기 좋아서 자주 오거든. 수석 입학과 과대라는 타이틀이 가끔은 좀 무거우니까…….""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date23,3,3,Dialogue,나,"""에이, 완벽한 미요코 과대께서 엄살은~ ㅋㅋㅋ 아까 커피 마실 때 보니까 캔커피 온도로 볼 식히고 있더만, 아직도 과부하 안 풀린 거 아냐?""",,,,,,,,,,,,,,,,,,
Date23,3,4,Dialogue,미요코,"""너, 너 진짜……!""",,Dating_Miyoko_angry,,,,,,,,,,,,,,,,
Date23,3,5,Dialogue,미요코," (또 놀림당하자 홱 토라지며 고개를 돌려버려) ""진지한 분위기를 못 만들지, 넌? 내가 바보지, 너 같은 허당한테 무슨 속마음을 털어놓겠다고…….""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date23,3,6,Dialogue,나,"""장난이야, 장난 ㅋㅋㅋ 그렇게 혼자 다 짊어지려고 하지 마. 힘들면 나한테 츳코미 걸면서 풀던가. 난 언제든 받아줄 수 있으니까.""",,,,,,,,,,,,,,,,,,
Date23,3,7,Dialogue,미요코,"""…….""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date23,3,8,Dialogue,미요코," (내 말에 잠시 멈칫하더니, 바람 때문에 가늘게 떨리는 어깨를 움츠려) ""말은 잘하네……. 받아주긴 뭘 받아준다고…….""",,,,,,,,,,,,,,,,,,
Date23,3,9,Dialogue,나,"(내 겉옷을 벗어 미요코의 어깨에 살포시 덮어주며) ""춥지? 내 온기라도 빌려줄게. 미요코, 네 무거운 짐…… 이제 내가 같이 짊어질게.""",,,,,,,,,,,,,,,,,,
Date23,3,10,Dialogue,미요코,"""……뭐야, 진짜.""",,Dating_Miyoko_default,,,,,,,,,,,,,,,,
Date23,3,11,Dialogue,나,"""어라, 이번엔 안 때리네? 웬일이냐, 과대왕님?""",,,,,,,,,,,,,,,,,,
Date23,3,12,Dialogue,미요코,"""시, 시끄러워……! 사람이 간만에 진지하게 분위기 잡고 들어오니까…… 반칙이잖아, 바보야.""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date23,3,13,Dialogue,나,"(항상 '완벽한 수석 입학생', '철벽 과대'의 가면을 쓰고 있던 미요코의 눈가에 살짝 물기가 어린 듯해. 매서웠던 눈빛은 어디 가고, 난간에 기대어 서 있는 네 옆자리로 슬그머니 다가온다.)",,,,,,,,,,,,,,,,,,
Date23,3,14,Dialogue,미요코,"""……나, 사실 엄청 무서웠어. 대학 오면 다들 나한테 기대기만 하고, 이름 때문에 놀리기나 하고……. 아무도 내 속마음 같은 건 안 궁금해하는 줄 알았단 말이야.""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date23,3,15,Dialogue,나,"""내가 있잖아. 네 이름이 미요코든 뭐든, 츳코미 걸면서 투덜거리는 진짜 네 모습이 제일 귀여우니까 걱정 마.""",,,,,,,,,,,,,,,,,,
Date23,3,16,Dialogue,나,"(내 말에 피식 웃음을 터뜨리더니, 이내 바람을 핑계 삼아 내 어깨에 자기 머리를 슬며시 기대어 와.)",,,,,,,,,,,,,,,,,,
Date23,3,17,Dialogue,미요코,"""진짜 킹받는데…… 이번만큼은 네 말에 속아줄게. 내 짐, 같이 짊어진다고 한 거…… 절대로 물르기 없기야?""",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,
Date23,3,18,Dialogue,나,"""당연하지.""",,,,,,,,,,,,,,,,,,
Date23,3,19,Dialogue,나,"(붉게 타오르던 310관 옥상의 밤하늘 아래, 푸앙이의 손과 미요코의 손이 겉옷 자락 사이로 슬그머니 겹쳐져. 차갑기만 하던 미요코의 손끝이, 푸앙이의 온기를 받아 세상에서 가장 따뜻하게 녹아내리기 시작한다.)",,Dating_Miyoko_smile,,,,,,,,,,,,,,,,